iter	Passed	Remaining
540	30460	532575
541	30513	532465
542	30565	532337
543	30620	532261
544	30730	533127
545	30804	533385
546	30856	533253
547	30906	533079
548	30957	532937
549	31008	532783
550	31059	532640
551	31110	532484
552	31161	532337
553	31212	532183
554	31264	532061
555	31316	531931
556	31368	531792
557	31418	531640
558	31469	531484
559	31520	531348
560	31571	531192
561	31621	531037
562	31673	530914
563	31724	530766
564	31776	530646
565	31828	530511
566	31879	530369
567	31928	530200
568	31979	530053
569	32030	529905
570	32082	529775
571	32133	529643
572	32208	529889
573	32261	529777
574	32313	529657
575	32366	529550
576	32416	529398
577	32469	529288
578	32521	529161
579	32575	529063
580	32625	528912
581	32677	528788
582	32727	528641
583	32778	528493
584	32830	528382
585	32882	528259
586	32933	528111
587	32985	527995
588	33037	527863
589	33090	527758
590	33140	527617
591	33197	527571
592	33251	527477
593	33302	527340
594	33353	527214
595	33405	527091
596	33454	526928
597	33506	526795
598	33559	526699
599	33634	526933
600	33685	526800
601	33734	526641
602	33784	526482
603	33834	526346
604	33885	526208
605	33934	526047
606	33984	525896
607	34036	525780
608	34088	525659
609	34141	525551
610	34190	525399
611	34242	525268
612	34294	525163
613	34345	525033
614	34396	524888
615	34446	524753
616	34496	524605
617	34548	524493
618	34599	524362
619	34650	524231
620	34709	524213
621	34763	524134
622	34816	524039
623	34869	523933
624	34920	523805
625	34971	523673
626	35053	524016
627	35107	523921
628	35169	523964
629	35222	523865
630	35274	523755
631	35340	523843
632	35398	523821
633	35455	523774
634	35506	523658
635	35558	523538
636	35609	523414
637	35660	523287
638	35711	523155
639	35764	523056
640	35818	522967
641	35872	522885
642	35930	522868
643	35984	522775
644	36034	522646
645	36086	522521
646	36136	522392
647	36186	522247
648	36236	522108
649	36286	521972
650	36337	521848
651	36389	521730
652	36442	521639
653	36518	521871
654	36569	521748
655	36620	521617
656	36672	521509
657	36724	521398
658	36776	521283
659	36827	521163
660	36879	521055
661	36931	520941
662	36982	520828
663	37036	520743
664	37088	520631
665	37137	520488
666	37190	520390
667	37240	520256
668	37291	520130
669	37344	520031
670	37397	519936
671	37449	519840
672	37502	519744
673	37554	519628
674	37606	519524
675	37656	519394
676	37708	519283
677	37759	519159
678	37811	519056
679	37866	518988
680	37941	519205
681	37994	519111
682	38046	518997
683	38098	518890
684	38147	518748
685	38199	518638
686	38252	518546
687	38303	518432
688	38357	518350
689	38408	518234
690	38460	518125
691	38517	518100
692	38618	518653
693	38689	518792
694	38744	518731
695	38801	518689
696	38857	518637
697	38912	518569
698	38965	518474
699	39018	518383
700	39071	518292
701	39124	518198
702	39180	518149
703	39233	518064
704	39292	518043
705	39348	517994
706	39403	517924
707	39479	518141
708	39532	518043
709	39583	517925
710	39634	517813
711	39685	517695
712	39736	517583
713	39787	517464
714	39840	517363
715	39890	517244
716	39942	517141
717	39994	517033
718	40049	516972
719	40100	516853
720	40151	516729
721	40206	516667
722	40259	516579
723	40311	516482
724	40366	516409
725	40417	516301
726	40468	516187
727	40520	516083
728	40571	515970
729	40624	515878
730	40675	515763
731	40726	515647
732	40777	515529
733	40830	515443
734	40904	515622
735	40956	515518
736	41009	515428
737	41061	515330
738	41112	515215
739	41163	515099
740	41219	515052
741	41276	515013
742	41336	515011
743	41392	514956
744	41449	514924
745	41505	514866
746	41560	514806
747	41616	514748
748	41673	514711
749	41725	514615
750	41775	514491
751	41825	514363
752	41876	514248
753	41927	514141
754	41978	514028
755	42028	513903
756	42080	513808
757	42131	513697
758	42180	513560
759	42232	513455
760	42288	513403
761	42364	513600
762	42415	513487
763	42467	513387
764	42517	513261
765	42570	513174
766	42619	513043
767	42670	512940
768	42723	512845
769	42774	512740
770	42824	512622
771	42875	512512
772	42925	512387
773	42977	512291
774	43028	512181
775	43080	512084
776	43133	511997
777	43184	511881
778	43235	511771
779	43284	511648
780	43336	511552
781	43387	511445
782	43438	511335
783	43489	511222
784	43539	511098
785	43590	510999
786	43643	510907
787	43694	510806
788	43770	510986
789	43821	510878
790	43872	510775
791	43922	510654
792	43974	510556
793	44026	510463
794	44075	510333
795	44124	510204
796	44178	510126
797	44240	510152
798	44305	510209
799	44365	510200
800	44424	510184
801	44476	510092
802	44527	509982
803	44580	509905
804	44633	509814
805	44684	509710
806	44736	509622
807	44794	509595
808	44856	509610
809	44917	509618
810	44969	509524
811	45020	509417
812	45106	509711
813	45169	509742
814	45244	509906
815	45295	509793
816	45345	509681
817	45396	509577
818	45447	509463
819	45499	509371
820	45565	509433
821	45636	509555
822	45706	509657
823	45764	509625
824	45825	509636
825	45879	509560
826	45931	509465
827	45981	509354
828	46037	509298
829	46095	509274
830	46147	509182
831	46200	509089
832	46250	508978
833	46302	508880
834	46355	508804
